quarter,manager,filer_cik,filer_name,status,form,accession,filing_date,detail
2026Q2,Icahn,921669,ICAHN CARL C,HOLDINGS,13F-HR,0001539497-26-002243,2026-08-14,18 rows from 1 filing(s)
2026Q2,Leon Cooperman,898382,COOPERMAN LEON G,HOLDINGS,13F-HR,0000945621-26-001056,2026-08-14,39 rows from 1 filing(s)
2026Q2,Lindsell Train,1484150,Lindsell Train Ltd,HOLDINGS,13F-HR,0001172661-26-002623,2026-07-15,28 rows from 1 filing(s)
2026Q2,Lone Pine,1061165,LONE PINE CAPITAL LLC,HOLDINGS,13F-HR,0000919574-26-005485,2026-08-14,34 rows from 1 filing(s)
2026Q2,Maverick Capital,934639,MAVERICK CAPITAL LTD,HOLDINGS,13F-HR,0000947871-26-000793,2026-08-14,179 rows from 1 filing(s)
2026Q2,Pershing Square,1336528,"Pershing Square Capital Management, L.P.",NT,13F-NT,0001172661-26-003777,2026-08-14,holdings reported in another filer's 13F (13F Notice)
2026Q2,Pershing Square,2026053,PERSHING SQUARE INC.,HOLDINGS,13F-HR,0001172661-26-003790,2026-08-14,15 rows from 1 filing(s)
2026Q2,Situational Awareness,2045724,Situational Awareness LP,HOLDINGS,13F-HR,0000935836-26-000418,2026-08-14,26 rows from 1 filing(s)
2026Q2,TCI,1647251,TCI Fund Management Ltd,HOLDINGS,13F-HR,0001647251-26-000007,2026-08-14,11 rows from 1 filing(s)
2026Q2,Third Point,1040273,Third Point LLC,HOLDINGS,13F-HR,0001040273-26-000003,2026-08-14,43 rows from 1 filing(s)
2026Q2,Tiger Global,1167483,TIGER GLOBAL MANAGEMENT LLC,HOLDINGS,13F-HR,0000919574-26-005427,2026-08-14,46 rows from 1 filing(s)
2026Q2,Viking Global,1103804,VIKING GLOBAL INVESTORS LP,HOLDINGS,13F-HR,0001103804-26-000006,2026-08-14,90 rows from 1 filing(s)
